Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"openBrowser("""")",Chrome 85.0.4183.121,,,2020-10-12 01:55:30,2020-10-12 01:55:31,0.711s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 85.0.4183.121,,,2020-10-12 01:55:31,2020-10-12 01:55:34,3.019s,PASSED
"click(findTestObject(""Object Repository/TC_006/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 85.0.4183.121,,,2020-10-12 01:55:34,2020-10-12 01:55:35,0.867s,PASSED
"setText(findTestObject(""Object Repository/TC_006/Page_CURA Healthcare Service/input_Username_username""), username)",Chrome 85.0.4183.121,,,2020-10-12 01:55:35,2020-10-12 01:55:36,0.922s,PASSED
"setText(findTestObject(""Object Repository/TC_006/Page_CURA Healthcare Service/input_Password_password""), pass)",Chrome 85.0.4183.121,,,2020-10-12 01:55:36,2020-10-12 01:55:37,0.717s,PASSED
"click(findTestObject(""Object Repository/TC_006/Page_CURA Healthcare Service/button_Login""))",Chrome 85.0.4183.121,,,2020-10-12 01:55:37,2020-10-12 01:55:38,1.098s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/TC_006/Page_CURA Healthcare Service/p_Login failed Please ensure the username a_eb55b5""), 0)",Chrome 85.0.4183.121,,,2020-10-12 01:55:38,2020-10-12 01:55:38,0.386s,PASSED
closeBrowser(),Chrome 85.0.4183.121,,,2020-10-12 01:55:38,2020-10-12 01:55:38,0.079s,PASSED
,,,,,,,
Test Cases/TC_006_dataFile,Chrome 85.0.4183.121,,,2020-10-12 01:55:38,2020-10-12 01:55:46,7.429s,PASSED
"openBrowser("""")",Chrome 85.0.4183.121,,,2020-10-12 01:55:38,2020-10-12 01:55:39,0.720s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 85.0.4183.121,,,2020-10-12 01:55:39,2020-10-12 01:55:42,2.800s,PASSED
"click(findTestObject(""Object Repository/TC_006/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 85.0.4183.121,,,2020-10-12 01:55:42,2020-10-12 01:55:43,0.862s,PASSED
"setText(findTestObject(""Object Repository/TC_006/Page_CURA Healthcare Service/input_Username_username""), username)",Chrome 85.0.4183.121,,,2020-10-12 01:55:43,2020-10-12 01:55:44,0.872s,PASSED
"setText(findTestObject(""Object Repository/TC_006/Page_CURA Healthcare Service/input_Password_password""), pass)",Chrome 85.0.4183.121,,,2020-10-12 01:55:44,2020-10-12 01:55:44,0.675s,PASSED
"click(findTestObject(""Object Repository/TC_006/Page_CURA Healthcare Service/button_Login""))",Chrome 85.0.4183.121,,,2020-10-12 01:55:44,2020-10-12 01:55:45,0.992s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/TC_006/Page_CURA Healthcare Service/p_Login failed Please ensure the username a_eb55b5""), 0)",Chrome 85.0.4183.121,,,2020-10-12 01:55:45,2020-10-12 01:55:46,0.414s,PASSED
closeBrowser(),Chrome 85.0.4183.121,,,2020-10-12 01:55:46,2020-10-12 01:55:46,0.082s,PASSED
